project_name,sector_type,country,installed_capacity_mw,operational_status,owner,equity_stake_owner,equity_stake_operator,country_of_company_hq,company_type,company_type_for_label,is_operator,lender_type,substances,deal_type,parent_org,pid
ambrosia,hydropower,bolivia,84.9,permitting,empresa_electrica_corani,1.0,1.0,bolivia,soe,stateowned_enterprise,yes,multilateral_development_bank,nan,greenfield,ende,yrqfe4
banda_azul,hydropower,bolivia,146.0,permitting,empresa_electrica_corani,1.0,1.0,bolivia,soe,stateowned_enterprise,yes,foreign_development_bankfund,nan,greenfield,ende,zcera8
chojlla,hydropower,bolivia,37.0,in_operation,hidroelectrica_boliviana,1.0,1.0,bolivia,local_power_company,local_power_company,yes,nan,nan,greenfield,hidroelectrica_boliviana,q72ypq
corani,hydropower,bolivia,54.0,in_operation,empresa_electrica_corani,1.0,1.0,bolivia,soe,stateowned_enterprise,yes,multilateral_development_bank,nan,greenfield,ende,j5culn
ivirizu,hydropower,bolivia,279.8,under_construction,ende_valle_hermoso,1.0,0.0,bolivia,soe,stateowned_enterprise,no,nan,nan,greenfield,ende,f4rh3c
misicuni,hydropower,bolivia,185.5,in_operation,empresa_nacional_de_electricidad_ende,0.5,1.0,bolivia,soe,stateowned_enterprise,yes,multilateral_development_bank_multilateral_development_bank,nan,greenfield,ende,tdzmhx
palillada,hydropower,bolivia,118.0,under_construction,empresa_electrica_corani,1.0,1.0,bolivia,soe,stateowned_enterprise,yes,nan,nan,greenfield,ende,sqqjkd
san_jose_cora,hydropower,bolivia,124.0,in_operation,empresa_electrica_corani,1.0,1.0,bolivia,soe,stateowned_enterprise,yes,multilateral_development_bank,nan,greenfield,ende,kd3nhv
santa_isabel_corani,hydropower,bolivia,93.4,in_operation,empresa_electrica_corani,1.0,1.0,bolivia,soe,stateowned_enterprise,yes,multilateral_development_bank,nan,greenfield,ende,bxz20c
umapalca,hydropower,bolivia,85.0,under_construction,empresa_electrica_corani,1.0,1.0,bolivia,soe,stateowned_enterprise,yes,nan,nan,greenfield,ende,it80of
yanacachi_norte,hydropower,bolivia,51.0,in_operation,hidroelectrica_boliviana,1.0,1.0,bolivia,local_power_company,local_power_company,yes,nan,nan,greenfield,hidroelectrica_boliviana,33h8er
balbina,hydropower,brazil,250.0,in_operation,amazonas_geracao_e_transmissao_de_energia,1.0,1.0,brazil,soe,stateowned_enterprise,yes,nan,nan,greenfield,amazonas_geracao_e_transmissao_de_energia,8cmzuq
belo_horizonte,hydropower,peru,185.1,under_construction,odebrecht_energia_sa,1.0,1.0,brazil,other,other,yes,nan,nan,full_asset_transaction,odebrecht,q2zaxt
belo_monte,hydropower,brazil,11233.0,in_operation,amazonia_energia_sa,0.09,0.09,brazil,local_power_company,local_power_company,yes,investment_bank_commercial_bank_domestic_development_bankfund,nan,partial_change_in_equity,amazonia_energia,fvpxyy
belo_monte,hydropower,brazil,11233.0,in_operation,centrais_eletricas_brasileiras_eletrobras,0.5,0.5,brazil,soe,stateowned_enterprise,yes,investment_bank_commercial_bank_domestic_development_bankfund,nan,partial_change_in_equity,eletrobras,yh7zfq
belo_monte,hydropower,brazil,11233.0,in_operation,entidades_de_previdencia_complementar,0.2,0.2,brazil,soe,stateowned_enterprise,yes,investment_bank_commercial_bank_domestic_development_bankfund,nan,partial_change_in_equity,entidades_de_previdencia_complementar,j5aryl
belo_monte,hydropower,brazil,11233.0,in_operation,jmalucelli_energia,0.025,0.025,brazil,other,other,yes,investment_bank_commercial_bank_domestic_development_bankfund,nan,partial_change_in_equity,jmalucelli_energia,3nt6bo
belo_monte,hydropower,brazil,11233.0,in_operation,vale_e_cemig,0.09,0.09,brazil,other,other,yes,investment_bank_commercial_bank_domestic_development_bankfund,nan,partial_change_in_equity,vale,fab3dv
colider,hydropower,brazil,300.0,in_operation,companhia_paranaense_de_energia_sa,1.0,1.0,brazil,soe,stateowned_enterprise,yes,domestic_development_bankfund,nan,greenfield,companhia_paranaense_de_energia_sa,ctqyxe
