project_name,latitude,longitude,sector_type,geometry
abanico,-2.25617,-78.19793,hydropower,POINT (-78.19793 -2.25617)
afobaka_brokopondo,5.0,-55.0,hydropower,POINT (-55 5)
ambrosia,-17.0091,-65.6409,hydropower,POINT (-65.6409 -17.0091)
angel_i_ii_iii,-13.6633,-70.5382,hydropower,POINT (-70.5382 -13.6633)
anto_ruiz,-13.8833,-70.2,hydropower,POINT (-70.2 -13.8833)
balbina,-1.91551,-59.47337,hydropower,POINT (-59.47337 -1.91551)
banda_azul,-17.0364,-65.7339,hydropower,POINT (-65.7339 -17.0364)
belo_horizonte,-9.21,-76.1131,hydropower,POINT (-76.1131 -9.21)
belo_monte,-3.1264,-51.775,hydropower,POINT (-51.775 -3.1264)
cachoeira_caldeirao,0.8533,-51.2917,hydropower,POINT (-51.2917 0.8533)
caruachi_francisco_de_miranda,8.16126,-62.79879,hydropower,POINT (-62.79879 8.16126)
ccollpani,-13.1434,-72.5822,hydropower,POINT (-72.5822 -13.1434)
cerro_del_aguila,-12.2241,-74.7006,hydropower,POINT (-74.7006 -12.2241)
chaglla,-9.694282,-75.836634,hydropower,POINT (-75.836634 -9.694282)
chimay,-11.32414,-75.30124,hydropower,POINT (-75.30124 -11.32414)
chojlla,-16.41287,-67.77281,hydropower,POINT (-67.77281 -16.41287)
coca_codo_sinclair,-0.07654,-77.65822,hydropower,POINT (-77.65822 -0.07654)
colider,-10.97735,-55.76852,hydropower,POINT (-55.76852 -10.97735)
corani,-17.21219,-65.87574,hydropower,POINT (-65.87574 -17.21219)
curibamba,-11.380429,-75.257256,hydropower,POINT (-75.257256 -11.380429)
curuauna,-2.81278,-54.29944,hydropower,POINT (-54.29944 -2.81278)
dardanelos,-10.16058,-59.44902,hydropower,POINT (-59.44902 -10.16058)
delsitanisagua,-3.8974,-78.8703,hydropower,POINT (-78.8703 -3.8974)
gpbi1guayas_bajo_integrado,1.38333,-74.83333,hydropower,POINT (-74.83333 1.38333)
guapore,-15.1239,-58.9647,hydropower,POINT (-58.9647 -15.1239)
guri_simon_bolivar_raul_leoni_dam,7.76844,-62.9978,hydropower,POINT (-62.9978 7.76844)
huaji,-16.04108,-67.97719,hydropower,POINT (-67.97719 -16.04108)
huallaga_i,-9.7958,-75.9271,hydropower,POINT (-75.9271 -9.7958)
isimanchi,-4.8393,-79.2398,hydropower,POINT (-79.2398 -4.8393)
ivirizu,-17.4442,-65.2739,hydropower,POINT (-65.2739 -17.4442)
jauru,-15.24542,-58.72894,hydropower,POINT (-58.72894 -15.24542)
jirau,-9.25499,-64.64448,hydropower,POINT (-64.64448 -9.25499)
juba,-14.7483,-58.0739,hydropower,POINT (-58.0739 -14.7483)
la_virgen,-11.187,-75.464,hydropower,POINT (-75.464 -11.187)
macagua_i_ii_iii,8.30122,-62.66471,hydropower,POINT (-62.66471 8.30122)
machu_picchu,-13.1739,-72.564,hydropower,POINT (-72.564 -13.1739)
mal_paso,-11.40478,-76.04971,hydropower,POINT (-76.04971 -11.40478)
misicuni,-17.31379,-66.26255,hydropower,POINT (-66.26255 -17.31379)
normandia,-2.1823,-78.3221,hydropower,POINT (-78.3221 -2.1823)
palillada,-16.6531,-67.3525,hydropower,POINT (-67.3525 -16.6531)
pucara_pisayambo,-1.0711,-78.4527,hydropower,POINT (-78.4527 -1.0711)
pusuno,-0.9565,-77.6178,hydropower,POINT (-77.6178 -0.9565)
restitucion,-12.3539,-74.6557,hydropower,POINT (-74.6557 -12.3539)
rondon_ii,-11.99566,-60.69688,hydropower,POINT (-60.69688 -11.99566)
salto_apiacas,-10.33044,-56.98333,hydropower,POINT (-56.98333 -10.33044)
samuel,-8.7515,-63.4546,hydropower,POINT (-63.4546 -8.7515)
san_bartolo,-2.749,-78.4134,hydropower,POINT (-78.4134 -2.749)
san_gaban_original__ii,-13.6,-70.43333,hydropower,POINT (-70.43333 -13.6)
san_gaban_expansion_i_iii_iv,-13.7199,-70.4528,hydropower,POINT (-70.4528 -13.7199)
san_jose_cora,-17.16721,-65.786,hydropower,POINT (-65.786 -17.16721)
santa_isabel_corani,-17.1916,-65.8232,hydropower,POINT (-65.8232 -17.1916)
santa_maria,-13.2057,-73.7349,hydropower,POINT (-73.7349 -13.2057)
santa_teresa_i,-13.07,-72.6241,hydropower,POINT (-72.6241 -13.07)
santiago_antunez_de_mayolo_mantaro,-12.4644,-74.7865,hydropower,POINT (-74.7865 -12.4644)
santo_antonio,-8.80167,-63.95083,hydropower,POINT (-63.95083 -8.80167)
santo_antonio_do_jari,-0.64963,-52.51627,hydropower,POINT (-52.51627 -0.64963)
sao_manoel,-9.18725,-57.05061,hydropower,POINT (-57.05061 -9.18725)
sinop,-11.26667,-55.45,hydropower,POINT (-55.45 -11.26667)
teles_pires,-9.35111,-56.7775,hydropower,POINT (-56.7775 -9.35111)
tingo_i_ii_iii,-6.1873,-77.97991,hydropower,POINT (-77.97991 -6.1873)
tucurui,-3.83167,-49.64667,hydropower,POINT (-49.64667 -3.83167)
tulumayo_v,-11.11986,-75.34918,hydropower,POINT (-75.34918 -11.11986)
umapalca,-16.74,-67.3685,hydropower,POINT (-67.3685 -16.74)
upamayo,-10.9236,-76.2791,hydropower,POINT (-76.2791 -10.9236)
veracruz,-6.0719,-78.5544,hydropower,POINT (-78.5544 -6.0719)
yanacachi_norte,-16.38808,-67.73751,hydropower,POINT (-67.73751 -16.38808)
yanango,-11.1851,-75.4602,hydropower,POINT (-75.4602 -11.1851)
yaupi,-10.55823,-75.9145,hydropower,POINT (-75.9145 -10.55823)
yuncan,-10.71921,-75.65152,hydropower,POINT (-75.65152 -10.71921)
achapo,1.604114,-75.020834,oil_gas,POINT (-75.020834 1.604114)
act8,-7.285416,-73.312639,oil_gas,POINT (-73.312639 -7.285416)
alea_1848_a,0.586735,-76.583298,oil_gas,POINT (-76.583298 0.586735)
alea_1947_c,0.741843,-76.287813,oil_gas,POINT (-76.287813 0.741843)
amboro_espejos_norte1,-17.950008,-63.551227,oil_gas,POINT (-63.551227 -17.950008)
amboro_espejos_norte2,-18.421611,-63.507925,oil_gas,POINT (-63.507925 -18.421611)
amt84,-2.788239,-58.756725,oil_gas,POINT (-58.756725 -2.788239)
andaquies,1.335476,-75.846516,oil_gas,POINT (-75.846516 1.335476)
area_occidental,0.516071,-77.165784,oil_gas,POINT (-77.165784 0.516071)
area_sur,0.407084,-76.900299,oil_gas,POINT (-76.900299 0.407084)
arroyo_negro,-16.86972,-63.91697,oil_gas,POINT (-63.91697 -16.86972)
ba3_azulao,-2.732798,-58.178487,oil_gas,POINT (-58.178487 -2.732798)
berbice,6.070713,-57.430606,oil_gas,POINT (-57.430606 6.070713)
block_10_villano,-1.582606,-77.557461,oil_gas,POINT (-77.557461 -1.582606)
block_103,-6.252881,-76.390294,oil_gas,POINT (-76.390294 -6.252881)
